,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agriculture_dataset
Year,Capital inputs: Durable equipment,Capital inputs: Inventories,Capital inputs: Land,Capital inputs: Service buildings,Capital inputs: Total,Crops output: Feed crops,Crops output: Food grains,Crops output: Fruits and nuts,Crops output: Oil crops,Crops output: Other crops 2/,Crops output: Total,Crops output: Vegetables and melons,Farm inputs: Total ,Farm-related output 3/,Intermediate inputs: Energy,Intermediate inputs: Feed and seed,Intermediate inputs: Fertilizer and lime,Intermediate inputs: Other intermediate,Intermediate inputs: Pesticides,Intermediate inputs: Purchased services,Intermediate inputs: Total,Labor inputs: Hired labor,Labor inputs: Self-employed and unpaid family,Labor inputs: Total,Livestock and products output: Dairy,Livestock and products output: Meat animals,Livestock and products output: Poultry and eggs,Livestock and products output: Total 1/,Total agricultural output,Total factor productivity (TFP)
1948,0.467550143,0.692027107,1.369041049,0.886675526,1.120362975,0.392066711,0.524309405,0.310912333,0.110667516,0.409470874,0.338529258,0.397223452,0.946524462,0.233374414,1.015512652,0.473740977,0.299007955,0.266192141,0.016233503,0.433501404,0.431257005,2.999097654,4.570501419,3.9746116,0.448528846,0.562957476,0.129304468,0.437903176,0.36283338,0.38333228
1949,0.551741575,0.748730531,1.373723102,0.925152008,1.140865729,0.360509756,0.450338634,0.275062524,0.10584002,0.450249889,0.327654515,0.449888015,0.959364142,0.219685102,1.124234024,0.490771322,0.289958662,0.311151763,0.019592468,0.432306186,0.445903819,2.786415323,4.546307607,3.87882399,0.468620192,0.582992547,0.148074342,0.440938396,0.357258676,0.372391108
1950,0.636629786,0.738850858,1.376957522,0.955875741,1.169548203,0.369672531,0.419779586,0.273998802,0.107492199,0.347429665,0.308352729,0.434787026,0.964567047,0.222828639,1.153243505,0.489459969,0.370919587,0.270105592,0.025087738,0.44277076,0.454706291,2.90492755,4.236455569,3.731842224,0.472826923,0.597969314,0.158970849,0.448576804,0.34863917,0.361446279
1951,0.71051483,0.756920565,1.378356055,0.983986308,1.192799977,0.357163943,0.414267436,0.299867239,0.11238876,0.450895266,0.325323602,0.441311154,0.979596165,0.193014097,1.196977513,0.512182194,0.36237969,0.277571549,0.021484071,0.481686292,0.47538892,2.804683823,4.066649294,3.58844855,0.465134615,0.630788071,0.170448964,0.466605398,0.364144995,0.371729707
1953,0.806328564,0.820665183,1.374288274,1.035699864,1.221481303,0.368851177,0.48803322,0.303515226,0.113452561,0.465444544,0.339858334,0.448083176,0.978607397,0.203356538,1.278820284,0.521499132,0.352789471,0.266259565,0.027705329,0.473737349,0.481813199,2.662122889,3.789421691,3.362526204,0.500524038,0.659015603,0.178876561,0.489348867,0.38099833,0.389327049
1954,0.847383233,0.803575293,1.368017965,1.058392714,1.2321976,0.38183085,0.428478553,0.316885663,0.119309927,0.42599079,0.332600716,0.434613453,0.953896884,0.188939452,1.274834296,0.482839262,0.358304977,0.252253089,0.030839899,0.458987105,0.456726336,2.509897482,3.7755681,3.29519391,0.513048077,0.685004327,0.188596609,0.503201673,0.380785407,0.399189276
1955,0.862412846,0.824431407,1.357937642,1.079193795,1.234367687,0.402358964,0.40473659,0.332644003,0.138261949,0.434091426,0.344601251,0.45942604,0.986239319,0.180872891,1.307968049,0.542364204,0.361020664,0.250553435,0.040381419,0.474480015,0.496898268,2.466677931,3.683561845,3.221858774,0.520769231,0.709061804,0.185729179,0.513094673,0.391252172,0.396711188
1956,0.87308036,0.836250327,1.344321286,1.096823554,1.233536615,0.396012672,0.422993226,0.32782517,0.150384795,0.409458594,0.341103996,0.475847164,0.985226187,0.196184699,1.308072224,0.562906664,0.364751262,0.234591683,0.055789108,0.487491996,0.513229482,2.252522509,3.489977589,3.01960723,0.534774038,0.698535206,0.207168971,0.525025186,0.393599523,0.399501686
1957,0.860422651,0.814398535,1.328591222,1.109967911,1.220187307,0.433224356,0.400667746,0.335504446,0.145212748,0.345656326,0.338806479,0.467477411,0.978186696,0.221939687,1.286263598,0.58992364,0.368477203,0.248562,0.040516096,0.505665935,0.52959638,2.160936305,3.189937052,2.799911593,0.539649038,0.665829565,0.211919375,0.513433822,0.389330819,0.398012794
