,period,average-employees,labor-hours,number-of-mines,production,productivity,GDP
4,2021,23981.0,54710924.0,174.0,220597113,4.03,23315.08056
9,2021,15448.0,31304165.0,332.0,356201657,11.38,23315.08056
12,2021,89.0,67529.0,6.0,632508,9.37,23315.08056
17,2021,39518.0,86082618.0,512.0,577431278,6.71,23315.08056
20,2021,2626.0,5498842.0,13.0,31143390,5.66,23315.08056
24,2021,8489.0,16630267.0,40.0,314932884,18.94,23315.08056
28,2021,11115.0,22129109.0,53.0,346076274,15.64,23315.08056
31,2021,21355.0,49212082.0,161.0,189453723,3.85,23315.08056
35,2021,6959.0,14673898.0,292.0,41268773,2.81,23315.08056
39,2021,1176.0,2216287.0,5.0,26512608,11.96,23315.08056
41,2021,8.0,10294.0,1.0,44162,4.29,23315.08056
43,2021,8.0,10294.0,1.0,44162,4.29,23315.08056
46,2021,1184.0,2226581.0,6.0,26556770,11.93,23315.08056
49,2021,1184.0,2226581.0,6.0,26556770,11.93,23315.08056
51,2021,213.0,482541.0,4.0,1780918,3.69,23315.08056
53,2021,141.0,309883.0,5.0,978296,3.16,23315.08056
55,2021,354.0,792424.0,9.0,2759214,3.48,23315.08056
57,2021,1092.0,2520884.0,4.0,10411324,4.13,23315.08056
59,2021,714.0,1514581.0,9.0,9059112,5.98,23315.08056
61,2021,1806.0,4035465.0,13.0,19470436,4.82,23315.08056
63,2021,1965.0,4282858.0,8.0,36197667,8.45,23315.08056
65,2021,52.0,96860.0,4.0,416190,4.3,23315.08056
67,2021,2017.0,4379718.0,12.0,36613857,8.36,23315.08056
69,2021,3270.0,7286283.0,16.0,48389909,6.64,23315.08056
71,2021,907.0,1921324.0,18.0,10453598,5.44,23315.08056
73,2021,4177.0,9207607.0,34.0,58843507,6.39,23315.08056
75,2021,3030.0,6655852.0,25.0,37998468,5.71,23315.08056
77,2021,494.0,1004192.0,54.0,2418334,2.41,23315.08056
78,2021,28314.0,63885980.0,453.0,230722496,3.61,23315.08056
81,2021,2626.0,5498842.0,13.0,31143390,5.66,23315.08056
85,2021,6233.0,12147897.0,27.0,270825116,22.29,23315.08056
89,2021,8859.0,17646739.0,40.0,301968506,17.11,23315.08056
91,2021,13686.0,32142511.0,104.0,94988328,2.96,23315.08056
94,2021,5247.0,11106191.0,170.0,41291142,3.72,23315.08056
97,2021,18933.0,43248702.0,274.0,136279470,3.15,23315.08056
99,2021,3270.0,7286283.0,16.0,48389909,6.64,23315.08056
102,2021,2091.0,4147905.0,24.0,37010368,8.92,23315.08056
105,2021,5361.0,11434188.0,40.0,85400277,7.47,23315.08056
108,2021,4399.0,9783288.0,41.0,46075486,4.71,23315.08056
111,2021,1877.0,3902172.0,111.0,7075031,1.81,23315.08056
114,2021,6276.0,13685460.0,152.0,53150517,3.88,23315.08056
117,2021,743.0,1493022.0,5.0,12590561,8.43,23315.08056
121,2021,2490.0,4701589.0,13.0,41269364,8.78,23315.08056
125,2021,3233.0,6194611.0,18.0,53859925,8.69,23315.08056
127,2021,1883.0,4005820.0,8.0,18552829,4.63,23315.08056
129,2021,378.0,771118.0,3.0,4744787,6.15,23315.08056
132,2021,2261.0,4776938.0,11.0,23297616,4.88,23315.08056
134,2021,4541.0,8891477.0,16.0,251323573,28.27,23315.08056
136,2021,4541.0,8891477.0,16.0,251323573,28.27,23315.08056
139,2021,2626.0,5498842.0,13.0,31143390,5.66,23315.08056
143,2021,7409.0,14364184.0,32.0,297337724,20.7,23315.08056
147,2021,10035.0,19863026.0,45.0,328481114,16.54,23315.08056
150,2021,1285.0,2693567.0,9.0,20795740,7.72,23315.08056
153,2021,1285.0,2693567.0,9.0,20795740,7.72,23315.08056
155,2021,4541.0,10408945.0,15.0,62667472,6.02,23315.08056
158,2021,3524.0,7660044.0,79.0,40416802,5.28,23315.08056
160,2021,57.0,87485.0,8.0,53948,0.62,23315.08056
162,2021,753.0,1493124.0,33.0,1988779,1.33,23315.08056
164,2021,810.0,1580609.0,41.0,2042727,1.29,23315.08056
167,2021,3087.0,6743337.0,33.0,38052416,5.64,23315.08056
170,2021,1247.0,2497316.0,87.0,4407113,1.76,23315.08056
173,2021,4334.0,9240653.0,120.0,42459529,4.59,23315.08056
176,2021,3087.0,6743337.0,33.0,38052416,5.64,23315.08056
179,2021,1247.0,2497316.0,87.0,4407113,1.76,23315.08056
182,2021,4334.0,9240653.0,120.0,42459529,4.59,23315.08056
183,2021,798.0,1685935.0,15.0,9713005,5.76,23315.08056
185,2021,5339.0,12094880.0,30.0,72380477,5.98,23315.08056
