,period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,mineTypeId,mineTypeDescription,average-employees,labor-hours,number-of-mines,production,productivity,average-employees-units,labor-hours-units,number-of-mines-units,production-units,productivity-units
0,2009,EST,East Total,TOT,All,ALL,All,12727.0,27269629.0,352.0,78998630,2.9,number of employees,hours,number of mines,short tons,short tons per labor hour
1,2009,UNT,Uinta Basin,SUB,Subbituminous,SUR,Surface,,,2.0,5694014,,number of employees,hours,number of mines,short tons,short tons per labor hour
2,2009,UNT,Uinta Basin,TOT,All,SUR,Surface,507.0,1049057.0,2.0,5694014,5.43,number of employees,hours,number of mines,short tons,short tons per labor hour
3,2009,UNT,Uinta Basin,SUB,Subbituminous,ALL,All,,,2.0,5694014,,number of employees,hours,number of mines,short tons,short tons per labor hour
4,2009,UNT,Uinta Basin,BIT,Bituminous,ALL,All,,,14.0,43409727,,number of employees,hours,number of mines,short tons,short tons per labor hour
5,2009,UNT,Uinta Basin,TOT,All,ALL,All,4320.0,8936590.0,16.0,49103741,5.49,number of employees,hours,number of mines,short tons,short tons per labor hour
6,2009,WSB,Western Region Total,SUB,Subbituminous,UND,Underground,,,2.0,4247376,,number of employees,hours,number of mines,short tons,short tons per labor hour
7,2009,WSB,Western Region Total,BIT,Bituminous,UND,Underground,,,17.0,50416218,,number of employees,hours,number of mines,short tons,short tons per labor hour
8,2009,WSB,Western Region Total,TOT,All,UND,Underground,4755.0,9829456.0,19.0,54663594,5.56,number of employees,hours,number of mines,short tons,short tons per labor hour
9,2009,WSB,Western Region Total,SUB,Subbituminous,SUR,Surface,,,29.0,492174495,,number of employees,hours,number of mines,short tons,short tons per labor hour
10,2009,WSB,Western Region Total,LIG,Lignite,SUR,Surface,,,5.0,30287878,,number of employees,hours,number of mines,short tons,short tons per labor hour
11,2009,WSB,Western Region Total,BIT,Bituminous,SUR,Surface,,,3.0,7855076,,number of employees,hours,number of mines,short tons,short tons per labor hour
12,2009,WSB,Western Region Total,TOT,All,SUR,Surface,10871.0,22228560.0,37.0,530317449,23.86,number of employees,hours,number of mines,short tons,short tons per labor hour
13,2009,WSB,Western Region Total,SUB,Subbituminous,ALL,All,,,31.0,496421871,,number of employees,hours,number of mines,short tons,short tons per labor hour
