,period,stateid,sectorid,price,revenue,sales,GDP
0,2022,ID,RES,10.42,1028.04761,9869.29714,23944.58716
1,2022,TN,RES,12.37,5435.3182,43925.98532,23944.58716
3,2022,TN,IND,6.88,1570.31258,22834.14194,23944.58716
4,2022,TN,COM,12.15,4321.77515,35559.17015,23944.58716
5,2022,TN,ALL,11.07,11327.40592,102319.29741,23944.58716
7,2022,SD,RES,12.17,646.37438,5313.05306,23944.58716
9,2022,SD,IND,8.1,259.01095,3196.29889,23944.58716
10,2022,SD,COM,10.23,503.1802,4918.66489,23944.58716
11,2022,SD,ALL,10.49,1408.56552,13428.01685,23944.58716
13,2022,SC,RES,14.11,4620.46948,32737.23249,23944.58716
15,2022,SC,IND,7.26,2104.41576,29000.60902,23944.58716
16,2022,SC,COM,11.79,2579.14649,21869.45121,23944.58716
17,2022,SC,ALL,11.13,9304.03173,83607.29273,23944.58716
18,2022,RI,TRA,17.52,4.02456,22.96934,23944.58716
19,2022,RI,RES,23.2,735.10536,3168.31046,23944.58716
21,2022,RI,IND,17.96,114.85381,639.38017,23944.58716
22,2022,RI,COM,16.24,602.23383,3707.2134,23944.58716
23,2022,RI,ALL,19.32,1456.21755,7537.87337,23944.58716
24,2022,PA,TRA,7.81,41.35686,529.54665,23944.58716
25,2022,PA,RES,16.06,9066.34145,56455.5945,23944.58716
27,2022,PA,IND,8.27,4205.25491,50855.61895,23944.58716
28,2022,PA,COM,10.8,4002.20554,37050.46938,23944.58716
29,2022,PA,ALL,11.95,17315.15876,144891.22947,23944.58716
30,2022,OR,TRA,10.45,2.37219,22.699,23944.58716
31,2022,OR,RES,11.35,2352.66223,20734.07781,23944.58716
32,2022,WNC,ALL,10.51,33159.99675,315448.87115,23944.58716
33,2022,ENC,TRA,7.76,39.34177,506.7013,23944.58716
34,2022,ENC,RES,15.49,29822.50656,192479.15822,23944.58716
36,2022,ENC,IND,8.45,15807.67681,187065.48102,23944.58716
37,2022,ENC,COM,11.73,20782.52907,177107.24553,23944.58716
38,2022,ENC,ALL,11.93,66452.0542,557158.58607,23944.58716
39,2022,MAT,TRA,12.83,434.01071,3381.95523,23944.58716
40,2022,MAT,RES,18.47,25660.96184,138910.85985,23944.58716
42,2022,MAT,IND,8.5,6236.52832,73336.74886,23944.58716
