,Plastics/Resin,Total Manufacturing,Man. Employees,Concrete Man.,Durable Goods,Semiconductors,NonDefense,Chem Man.,Glass Man.,Man. New Orders,Paint Man.,Oil/Gas Man.,Ind. Prod.,Pharm. Man,Weekly hours.,Food Man.,Gypsum,Fiber Box,Switchgear,Valve,Turbine,Computers/electronics,Vehicles,Hardware,New Orders Consumer Goods,Industrial Gas Man.,year,month,day,dayofweek,GDP
0,114.1,100.0,18023,0.0,0.0,100.0,0.0,100.0,0.0,0.0,104.4,120.4,50.7656,134.2,40.5,100.0,0.0,123.8,0.0,0.0,106.2,0.0,105.5,0.0,0.0,0.0,1984,12,1,5,4037.613
1,114.1,0.0,18009,0.0,0.0,100.5,0.0,100.2,0.0,0.0,105.5,120.5,50.628,135.8,40.3,100.1,0.0,123.8,0.0,0.0,105.7,0.0,106.7,0.0,0.0,0.0,1985,1,1,1,4338.979
2,114.3,0.0,17966,0.0,0.0,100.8,0.0,100.0,0.0,0.0,104.3,120.5,50.4069,137.0,40.1,100.0,0.0,126.2,0.0,0.0,105.7,0.0,106.8,0.0,0.0,0.0,1985,2,1,4,4338.979
3,114.5,0.0,17939,0.0,0.0,100.9,0.0,100.3,0.0,0.0,104.4,120.5,50.79,138.4,40.4,99.8,0.0,126.6,0.0,0.0,105.8,0.0,106.5,0.0,0.0,0.0,1985,3,1,4,4338.979
4,114.1,0.0,17886,0.0,0.0,100.6,0.0,100.6,0.0,0.0,104.8,120.5,50.6097,139.3,40.5,99.3,0.0,124.3,0.0,0.0,106.5,0.0,106.5,0.0,0.0,0.0,1985,4,1,0,4338.979
5,113.5,0.0,17855,0.0,0.0,100.1,0.0,100.8,0.0,0.0,104.9,120.5,50.7245,140.6,40.4,98.9,0.0,121.4,0.0,0.0,107.5,0.0,107.0,0.0,0.0,0.0,1985,5,1,2,4338.979
6,114.6,0.0,17819,0.0,0.0,100.1,0.0,100.8,0.0,0.0,104.7,120.4,50.7372,140.4,40.5,99.0,0.0,122.2,100.0,0.0,107.9,0.0,107.3,100.0,0.0,0.0,1985,6,1,5,4338.979
7,114.3,0.0,17776,0.0,0.0,100.4,0.0,101.1,0.0,0.0,104.9,120.0,50.5184,143.2,40.4,98.8,0.0,120.1,100.7,0.0,107.9,0.0,107.3,100.0,0.0,0.0,1985,7,1,0,4338.979
8,113.9,0.0,17756,0.0,0.0,100.5,0.0,101.0,0.0,0.0,105.0,120.2,50.7752,142.2,40.6,98.0,0.0,121.5,100.9,0.0,109.7,0.0,107.2,100.2,0.0,0.0,1985,8,1,3,4338.979
9,113.4,0.0,17718,0.0,0.0,100.5,0.0,101.5,0.0,0.0,104.9,121.1,50.8264,143.5,40.6,97.3,0.0,116.8,100.8,0.0,109.0,0.0,100.2,100.2,0.0,0.0,1985,9,1,6,4338.979
