,period,value,GDP
0,2021,8994.0,23315.08056
1,2021,122431.0,23315.08056
4,2021,72.0,23315.08056
6,2021,1541015.0,23315.08056
7,2021,59878.0,23315.08056
12,2021,2880135.0,23315.08056
13,2021,5512.0,23315.08056
14,2021,6.0,23315.08056
15,2021,268582.0,23315.08056
16,2021,2880135.0,23315.08056
17,2021,134999.0,23315.08056
22,2021,205.0,23315.08056
23,2021,161.0,23315.08056
24,2021,177.0,23315.08056
25,2021,99914.0,23315.08056
26,2021,2103.0,23315.08056
27,2021,202.0,23315.08056
28,2021,46575.0,23315.08056
29,2021,139122.0,23315.08056
30,2021,222738.0,23315.08056
31,2021,1374897.0,23315.08056
32,2021,2784.0,23315.08056
33,2021,210439.0,23315.08056
34,2021,18.0,23315.08056
35,2021,661.0,23315.08056
36,2021,448187.0,23315.08056
38,2021,314190.0,23315.08056
40,2021,4555008.0,23315.08056
41,2021,22861.0,23315.08056
43,2021,140604.0,23315.08056
46,2021,1312.0,23315.08056
47,2021,90097.0,23315.08056
48,2021,229.0,23315.08056
49,2021,7626504.0,23315.08056
51,2021,5969.0,23315.08056
52,2021,160.0,23315.08056
53,2021,239944.0,23315.08056
54,2021,10669340.0,23315.08056
55,2021,3431429.0,23315.08056
57,2021,16713.0,23315.08056
61,2021,1506.0,23315.08056
63,2021,3415221.0,23315.08056
64,2021,6747.0,23315.08056
65,2021,5.0,23315.08056
66,2021,96044.0,23315.08056
67,2021,4.0,23315.08056
68,2021,77696.0,23315.08056
69,2021,1290.0,23315.08056
70,2021,293147.0,23315.08056
73,2021,4252.0,23315.08056
75,2021,3395712.0,23315.08056
76,2021,126142.0,23315.08056
79,2021,81237.0,23315.08056
82,2021,8634037.0,23315.08056
83,2021,220444.0,23315.08056
84,2021,2281193.0,23315.08056
85,2021,780471.0,23315.08056
86,2021,3130.0,23315.08056
89,2021,537544.0,23315.08056
90,2021,107233.0,23315.08056
91,2021,409278.0,23315.08056
92,2021,195991.0,23315.08056
93,2021,327.0,23315.08056
94,2021,2041715.0,23315.08056
95,2021,104185.0,23315.08056
96,2021,13864.0,23315.08056
97,2021,27566.0,23315.08056
98,2021,200324.0,23315.08056
99,2021,51206.0,23315.08056
100,2021,1290.0,23315.08056
101,2021,680.0,23315.08056
102,2021,8500493.0,23315.08056
103,2021,7468.0,23315.08056
104,2021,3414274.0,23315.08056
105,2021,40470.0,23315.08056
108,2021,4063.0,23315.08056
109,2021,385137.0,23315.08056
110,2021,34517798.0,23315.08056
111,2021,5.0,23315.08056
112,2021,72301.0,23315.08056
113,2021,75373.0,23315.08056
114,2021,1.0,23315.08056
115,2021,140878.0,23315.08056
116,2021,178435.0,23315.08056
117,2021,70835.0,23315.08056
118,2021,2760429.0,23315.08056
122,2021,216292.0,23315.08056
123,2021,3407.0,23315.08056
124,2021,1808055.0,23315.08056
125,2021,4.0,23315.08056
