,period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
0,2010,SAR,USA-AR,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010AR3,Arkansas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),11.53,$/MCF
1,2010,SNH-Z00,USA-NH,EPG0,Natural Gas,PEX,Exports (Price),NGA_EPG0_PEX_SNH-Z00_DMCF,Price of New Hampshire Natural Gas Exports (Dollars per Thousand Cubic Feet),,$/MCF
2,2010,SIN,USA-IN,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SIN_3,Indiana Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),5.19,$/MCF
3,2010,SPA,USA-PA,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SPA_3,Pennsylvania Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),3.76,$/MCF
4,2010,SWY,USA-WY,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SWY_3,Wyoming Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),10.08,$/MCF
5,2010,SOK,USA-OK,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SOK_3,Oklahoma Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),8.18,$/MCF
6,2010,SMA,MASSACHUSETTS,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SMA_3,Massachusetts Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),12.48,$/MCF
7,2010,SMS,USA-MS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SMS_4,Mississippi Natural Gas % of Total Residential - Sales (%),100.0,%
8,2010,SDE,USA-DE,EPG0,Natural Gas,PDV,Vehicle Fuel Price,NA1570_SDE_3,Delaware Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),24.55,$/MCF
9,2010,SMN,MINNESOTA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SMN_4,Minnesota Natural Gas % of Total Residential - Sales (%),100.0,%
10,2010,SLA,USA-LA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SLA_4,Louisiana Natural Gas % of Total Residential - Sales (%),100.0,%
11,2010,SVA,USA-VA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SVA_4,Virginia Natural Gas % of Total Residential - Sales (%),100.0,%
12,2010,SNE,USA-NE,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SNE_4,Nebraska Natural Gas % of Total Residential - Sales (%),87.4,%
13,2010,SOH,OHIO,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SOH_4,Ohio Natural Gas % of Total Residential - Sales (%),100.0,%
14,2010,SCA,CALIFORNIA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SCA_4,California Natural Gas % of Total Residential - Sales (%),98.5,%
15,2010,SAZ,USA-AZ,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SAZ_4,Arizona Natural Gas % of Total Residential - Sales (%),100.0,%
16,2010,SNH-Z00,USA-NH,EPG0,Natural Gas,PM0,Imports Price,NA1274_SNH_3,New Hampshire Natural Gas Imports Price (Dollars per Thousand Cubic Feet),5.48,$/MCF
17,2010,SMN-Z00,MINNESOTA,EPG0,Natural Gas,PM0,Imports Price,NA1274_SMN_3,Minnesota Natural Gas Imports Price (Dollars per Thousand Cubic Feet),4.49,$/MCF
18,2010,SNY-Z00,NEW YORK,EPG0,Natural Gas,PEX,Exports (Price),NA1284_SNY-Z00_3,New York Natural Gas Exports (Price) All Countries (Dollars per Thousand Cubic Feet),,$/MCF
19,2010,SME-Z00,USA-ME,EPG0,Natural Gas,PM0,Imports Price,NA1274_SME_3,Maine Natural Gas Imports Price (Dollars per Thousand Cubic Feet),4.94,$/MCF
